accountsservice 22.08.8-1
ttf-dejavu 2.37+18+g9b5d1b2f-3
ttf-liberation 2.1.5-1
ttf-opensans 1.101-2
unrar 1:6.1.6-1
unzip 6.0-18
upower 0.99.17-1
usb_modeswitch 2.6.1-3
usbutils 014-2
vim 8.2.4464-1
visual-studio-code-bin 1.65.2-1
vpnc 1:0.5.3.r501.r196-1
welcome 3.17.23-1
wget 1.21.2-1
which 2.21-5
whois 5.5.12-1
wine 7.4-1
wireless-regdb 2022.02.18-1
wireless_tools 30.pre9-3
wpa_supplicant 2:2.10-3
xdg-user-dirs 0.17-3
xdg-utils 1.1.3+19+g9816ebb-1
xf86-input-libinput 1.2.1-1
xf86-video-amdgpu 22.0.0-1
xf86-video-ati 1:19.1.0.r9.g5eba006e-2
xfsprogs 5.14.2-1
xl2tpd 1.3.17-1
xorg-server 21.1.3-6
xorg-xdpyinfo 1.3.2-4
xorg-xinit 1.4.1-3
xorg-xinput 1.6.3-2
xorg-xkill 1.0.5-2
xorg-xrandr 1.5.1-2
xsettingsd 1.0.2-1
xterm 372-1
yad-eos 11.0-1
yay 11.1.2-1
youtube-music-bin 1.16.0-1
zathura 0.4.8-1
zsh 5.8.1-1
zsh-autosuggestions 0.7.0-1
